ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Daniyal,1,1771509798138,-2.697,3.14205,9.81795,10.42282,0.34664,7.85453
Daniyal,2,1771509798154,-2.898,3.324,8.709,6.58615,-28.30626,7.00369
Daniyal,3,1771509798166,-2.895,3.408,8.355,4.45117,-39.4066,7.24792
Daniyal,4,1771509798174,-2.895,3.408,8.355,3.41125,-47.4581,7.85453
Daniyal,5,1771509798182,-2.50995,3.357,8.42895,3.5373,-52.39771,8.16178
Daniyal,6,1771509798193,-2.50995,3.357,8.42895,4.20694,-55.01326,8.16178
Daniyal,7,1771509798204,-2.14605,3.17805,8.73795,5.36503,-55.99015,8.09876
Daniyal,8,1771509798214,-2.14605,3.17805,8.73795,7.01157,-56.2974,7.67334
Daniyal,9,1771509798226,-1.61895,2.92395,8.84295,9.0205,-49.04161,5.4123
Daniyal,10,1771509798237,-1.356,2.97705,8.29005,8.65811,-44.10199,4.44329
Daniyal,11,1771509798249,-1.356,2.97705,8.29005,5.12081,-42.1482,0.96114
Daniyal,12,1771509798260,-1.41795,3.02895,8.022,-0.55147,-42.1482,-3.67123
Daniyal,13,1771509798270,-1.41795,3.02895,8.022,-5.54623,-43.18813,-7.20853
Daniyal,14,1771509798281,-1.24095,2.646,8.18205,-9.26473,-45.8667,-9.76893
Daniyal,15,1771509798295,-1.24095,2.646,8.18205,-13.1723,-53.18552,-13.36138
Daniyal,16,1771509798305,-1.07295,2.77095,8.67795,-14.44856,-58.79478,-16.29206
Daniyal,17,1771509798316,-1.07295,2.77095,8.67795,-12.43963,-64.28587,-16.9617
Daniyal,18,1771509798326,-1.06095,2.87595,8.66595,-11.46274,-59.46443,-16.47325
Daniyal,19,1771509798337,-0.97005,2.61795,8.484,-13.1723,-52.20863,-15.98481
Daniyal,20,1771509798350,-0.97005,2.61795,8.484,-16.33932,-49.64822,-14.76369
Daniyal,21,1771509798360,-0.90105,2.625,8.86695,-18.84458,-47.94654,-13.36138
Daniyal,22,1771509798371,-0.90105,2.625,8.86695,-20.49112,-38.31154,-11.35244
Daniyal,23,1771509798383,-0.41295,2.67705,8.055,-24.69806,-30.26005,-10.864
Daniyal,24,1771509798393,-0.41295,2.67705,8.055,-32.6235,-23.18545,-11.77786
Daniyal,25,1771509798404,0.03405,2.79495,7.62195,-41.95126,-17.395,-13.79467
Daniyal,26,1771509798415,0.03405,2.79495,7.62195,-50.12091,-12.58144,-16.84353
Daniyal,27,1771509798425,0.16305,2.74695,8.01495,-55.30475,-4.4039,-19.8845
Daniyal,28,1771509798438,0.22095,2.68695,9.79395,-54.14666,2.97007,-23.0594
Daniyal,29,1771509798449,0.22095,2.68695,9.79395,-48.23016,-2.03257,-24.57989
Daniyal,30,1771509798459,0.66405,2.361,10.16505,-39.75325,-8.42964,-26.10826
Daniyal,31,1771509798471,0.66405,2.361,10.16505,-29.69282,-21.05047,-30.43337
Daniyal,32,1771509798483,1.179,2.37795,9.576,-22.56308,-50.93237,-40.92709
Daniyal,33,1771509798493,1.179,2.37795,9.576,-26.28157,-59.10203,-52.57103
Daniyal,34,1771509798505,2.112,3.00495,9.04695,-30.91394,-62.70235,-62.69448
Daniyal,35,1771509798517,1.38705,3.00795,9.528,-25.79313,-79.6483,-46.53635
Daniyal,36,1771509798525,1.38705,3.00795,9.528,-23.90237,-80.26279,-33.0568
Daniyal,37,1771509798536,1.464,2.24595,7.17405,-26.83305,-54.52481,24.74533
Daniyal,38,1771509798548,1.464,2.24595,7.17405,-34.08884,-38.24851,63.22231
Daniyal,39,1771509798560,2.42595,1.43505,7.347,-41.88823,-39.65083,88.09369
Daniyal,40,1771509798571,2.42595,1.43505,7.347,-48.16713,-54.58784,99.01283
Daniyal,41,1771509798582,2.328,0.609,7.308,-57.50276,-73.92086,97.05905
Daniyal,42,1771509798594,2.328,0.609,7.308,-61.46548,-65.62515,62.11937
Daniyal,43,1771509798605,7.32,-1.533,8.39505,-65.30215,-29.70858,-17.56832
Daniyal,44,1771509798615,7.32,-1.533,8.39505,-56.95129,5.04203,-75.92192
Daniyal,45,1771509798628,2.84295,0.939,11.271,-47.00904,-8.31147,-66.77537
Daniyal,46,1771509798636,2.84295,0.939,11.271,-46.33939,-9.40654,-61.22913
Daniyal,47,1771509798648,2.79705,-0.46995,9.549,-41.58886,6.08195,-60.25224
Daniyal,48,1771509798659,-0.18,1.50195,8.982,-40.18655,9.55622,-58.11726
Daniyal,49,1771509798670,-0.18,1.50195,8.982,-45.91397,-0.5042,-44.03109
Daniyal,50,1771509798681,-1.06395,0.76695,7.23405,-60.48859,-13.6765,-25.55678
Daniyal,51,1771509798693,-1.06395,0.76695,7.23405,-84.63518,-47.26902,-4.94749
Daniyal,52,1771509798703,-0.37005,-1.842,7.89,-95.67249,-78.6714,3.58457
Daniyal,53,1771509798715,-0.37005,-1.842,7.89,-101.52597,-119.59061,9.62712
Daniyal,54,1771509798725,-0.68805,-4.24305,10.06695,-101.82534,-158.67421,15.53575
Daniyal,55,1771509798737,0.06,-4.119,10.78005,-91.70977,-200.98787,23.70541
Daniyal,56,1771509798749,0.06,-4.119,10.78005,-82.80744,-214.40439,20.96381
Daniyal,57,1771509798760,0.987,-2.97,8.709,-78.53747,-198.91589,13.83407
Daniyal,58,1771509798770,0.987,-2.97,8.709,-78.7817,-156.60225,8.83143
Daniyal,59,1771509798782,0.01695,-2.445,7.69605,-84.99757,-112.51602,9.50107
Daniyal,60,1771509798792,0.01695,-2.445,7.69605,-110.67252,-63.06475,23.27999
Daniyal,61,1771509798805,-0.87705,-2.50005,8.05995,-130.30493,-40.80892,36.81469
Daniyal,62,1771509798816,-0.87705,-2.50005,8.05995,-145.12376,-17.27682,49.92396
Daniyal,63,1771509798827,-1.713,-3.98205,8.47005,-154.87694,6.32617,64.07315
Daniyal,64,1771509798839,0.23805,-4.92795,11.43105,-159.63535,12.47902,68.0989
Daniyal,65,1771509798849,0.23805,-4.92795,11.43105,-147.92839,17.60771,66.14511
Daniyal,66,1771509798872,-1.51905,-3.07005,12.21195,-124.9399,30.96121,71.0217
Daniyal,67,1771509798880,-3.02205,-2.27505,11.40705,-82.43716,50.16818,88.46397
Daniyal,68,1771509798895,-3.02205,-2.27505,11.40705,-61.64668,64.37253,97.67355
Daniyal,69,1771509798905,-2.256,-3.43395,8.94795,-55.73017,63.08838,104.98449
Daniyal,70,1771509798914,-2.256,-3.43395,8.94795,-57.19551,52.78374,113.03598
Daniyal,71,1771509798927,-0.49395,-2.46,7.56495,-62.00908,32.78894,114.56434
Daniyal,72,1771509798937,1.64805,-2.46705,7.404,-63.71864,-3.49003,104.98449
