ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Daniyal,1,1771513155515,0.035,2.01655,5.83819,18.92851,3.93676,-12.35198
Daniyal,2,1771513155534,0.72203,1.91127,5.29472,29.90721,16.92962,-19.7296
Daniyal,3,1771513155549,0.27428,2.19123,6.27159,48.58395,29.19767,-25.83311
Daniyal,4,1771513155567,-1.04746,3.15374,6.01765,46.56979,22.36174,-28.03037
Daniyal,5,1771513155579,-1.04746,3.15374,6.01765,24.1165,11.32201,-31.81455
Daniyal,6,1771513155598,-1.53081,4.88943,4.18624,-1.70135,2.41089,-34.07285
Daniyal,7,1771513155614,-3.85573,6.83121,7.59542,-16.46422,-12.11547,-27.48106
Daniyal,8,1771513155631,-7.44706,9.26621,14.55075,-3.95202,12.78686,-5.82122
Daniyal,9,1771513155650,-8.27767,9.42174,18.98226,33.93552,43.29678,24.93284
Daniyal,10,1771513155670,-2.15833,7.11147,14.96501,32.65379,63.73592,24.07835
Daniyal,11,1771513155680,-2.15833,7.11147,14.96501,23.93339,49.88094,23.22386
Daniyal,12,1771513155698,-0.19502,6.30928,12.27847,15.87676,44.51748,15.89965
Daniyal,13,1771513155718,0.85843,4.73869,13.53799,18.74541,31.39493,-0.3891
Daniyal,14,1771513155733,-0.8318,4.70279,14.80918,4.58526,8.6975,1.44195
Daniyal,15,1771513155751,-1.67228,5.02852,13.13809,0.43488,1.19018,4.24957
Daniyal,16,1771513155769,-0.80548,4.65494,10.46142,-9.75036,-8.63647,4.1275
Daniyal,17,1771513155784,-0.80548,4.65494,10.46142,-26.53502,-20.46965,0.95367
Daniyal,18,1771513155800,-0.08016,3.30449,8.89083,-33.00474,-26.87834,-4.17328
Daniyal,19,1771513155815,0.82732,2.13619,10.08306,-26.90122,-23.21623,-11.92474
Daniyal,20,1771513155834,1.07169,1.70279,10.69592,-20.30943,-21.69035,-16.50237
Daniyal,21,1771513155852,0.50399,1.78893,9.12054,-30.62436,-35.42325,-19.97374
Daniyal,22,1771513155866,-1.10489,2.11226,8.22772,-40.13821,-40.12296,-17.17375
Daniyal,23,1771513155882,-1.10489,2.11226,8.22772,-35.92679,-36.70499,-8.26263
